,S9,S36,S3,S2,S1,S7,S6,S5,S30,S8,S33,S32,S4,S19,S18,S39,S38,S13,S12,S11,S10,S17,S16,S15,S14,S22,S23,S20,S21,S26,S27,S24,S25,S28,S29,S35,S34,S40,S31,S37
S9,0,0.747571429,0.348238095,0.559809524,0.646952381,0.71252381,0.559190476,0.81452381,0.764142857,0.619904762,0.633,0.729380952,0.38252381,0.552809524,0.350190476,0.707285714,0.781142857,0.714857143,0.560714286,0.577428571,0.384857143,0.619142857,0.519857143,0.631238095,0.390571429,0.77947619,0.701571429,0.78447619,0.761095238,0.683047619,0.566428571,0.849904762,0.76,0.521952381,0.81752381,0.65452381,0.763142857,0.68552381,0.759142857,0.864714286
S36,0.747571429,0,0.758142857,0.740380952,0.491190476,0.67852381,0.572285714,0.557619048,0.498666667,0.438666667,0.477238095,0.481,0.598809524,0.592904762,0.704761905,0.591619048,0.600142857,0.348,0.524714286,0.563047619,0.52852381,0.516809524,0.711428571,0.641047619,0.714047619,0.470714286,0.482666667,0.429285714,0.515571429,0.652904762,0.580238095,0.853761905,0.319571429,0.740619048,0.475666667,0.328857143,0.520047619,0.423047619,0.490095238,0.835142857
S3,0.348238095,0.758142857,0,0.576761905,0.638333333,0.729571429,0.527190476,0.763761905,0.730380952,0.632380952,0.676619048,0.751,0.310809524,0.516666667,0.377380952,0.731190476,0.787428571,0.703571429,0.536047619,0.574047619,0.363714286,0.588,0.464571429,0.539,0.346571429,0.784333333,0.710047619,0.790333333,0.730666667,0.759809524,0.515571429,0.887904762,0.73752381,0.502952381,0.809714286,0.704952381,0.754380952,0.680380952,0.757666667,0.851190476
S2,0.559809524,0.740380952,0.576761905,0,0.667380952,0.700809524,0.61647619,0.640380952,0.744190476,0.621952381,0.637333333,0.742952381,0.583904762,0.569380952,0.545904762,0.765190476,0.830095238,0.707047619,0.549666667,0.559142857,0.580809524,0.645047619,0.635428571,0.66452381,0.548333333,0.798857143,0.725,0.78947619,0.776857143,0.603047619,0.581285714,0.848619048,0.725095238,0.650285714,0.78152381,0.666761905,0.704809524,0.689333333,0.724047619,0.806428571
S1,0.646952381,0.491190476,0.638333333,0.667380952,0,0.670190476,0.333,0.545333333,0.453952381,0.402952381,0.576142857,0.526285714,0.502761905,0.592,0.579380952,0.691142857,0.564428571,0.37952381,0.439952381,0.566857143,0.443,0.504904762,0.552,0.506714286,0.621666667,0.521238095,0.425809524,0.607,0.505666667,0.743809524,0.471142857,0.85752381,0.445952381,0.543380952,0.688190476,0.557047619,0.683380952,0.51752381,0.626619048,0.89347619
S7,0.71252381,0.67852381,0.729571429,0.700809524,0.670190476,0,0.666238095,0.742619048,0.699285714,0.617,0.660809524,0.649190476,0.673238095,0.768190476,0.704904762,0.772285714,0.70147619,0.660142857,0.627809524,0.678285714,0.666285714,0.695952381,0.671666667,0.684333333,0.670190476,0.701666667,0.670571429,0.704857143,0.69047619,0.775285714,0.641857143,0.898428571,0.690619048,0.71147619,0.747285714,0.648952381,0.746666667,0.65752381,0.637190476,0.850857143
S6,0.559190476,0.572285714,0.527190476,0.61647619,0.333,0.666238095,0,0.550047619,0.405047619,0.475428571,0.640190476,0.506619048,0.387333333,0.55747619,0.475666667,0.768142857,0.550666667,0.48547619,0.423,0.595571429,0.339714286,0.534571429,0.459619048,0.468952381,0.488761905,0.544571429,0.464238095,0.70352381,0.50352381,0.798857143,0.420190476,0.873190476,0.572190476,0.509904762,0.761666667,0.645142857,0.765238095,0.579904762,0.701666667,0.870285714
S5,0.81452381,0.557619048,0.763761905,0.640380952,0.545333333,0.742619048,0.550047619,0,0.52147619,0.45847619,0.676095238,0.527285714,0.557380952,0.77647619,0.791333333,0.820714286,0.591809524,0.488809524,0.644333333,0.735380952,0.527666667,0.714428571,0.750142857,0.652857143,0.704857143,0.542857143,0.54147619,0.68147619,0.543904762,0.775238095,0.649095238,0.934238095,0.577380952,0.780428571,0.679857143,0.680333333,0.742,0.714428571,0.699619048,0.852571429
S30,0.764142857,0.498666667,0.730380952,0.744190476,0.453952381,0.699285714,0.405047619,0.52147619,0,0.499761905,0.63752381,0.457047619,0.581714286,0.772285714,0.677380952,0.74952381,0.517,0.455428571,0.57847619,0.719666667,0.500428571,0.691904762,0.684428571,0.610904762,0.689904762,0.477190476,0.407666667,0.711857143,0.463619048,0.750047619,0.53347619,0.793952381,0.529047619,0.651761905,0.719952381,0.607809524,0.74252381,0.604809524,0.71152381,0.841428571
S8,0.619904762,0.438666667,0.632380952,0.621952381,0.402952381,0.617,0.475428571,0.45847619,0.499761905,0,0.494952381,0.439142857,0.464666667,0.629428571,0.659619048,0.713285714,0.549047619,0.353666667,0.498809524,0.558095238,0.421571429,0.567714286,0.641047619,0.543095238,0.604857143,0.497666667,0.498571429,0.607095238,0.505952381,0.650761905,0.504285714,0.904904762,0.465142857,0.668952381,0.631142857,0.499095238,0.657285714,0.570333333,0.574619048,0.811714286
S33,0.633,0.477238095,0.676619048,0.637333333,0.576142857,0.660809524,0.640190476,0.676095238,0.63752381,0.494952381,0,0.512904762,0.623714286,0.583,0.667,0.632714286,0.72847619,0.508666667,0.531095238,0.514047619,0.594333333,0.548285714,0.64847619,0.67147619,0.547571429,0.688333333,0.649380952,0.59552381,0.691047619,0.542952381,0.590095238,0.889333333,0.525952381,0.657952381,0.531714286,0.383380952,0.54947619,0.495809524,0.526952381,0.699809524
S32,0.729380952,0.481,0.751,0.742952381,0.526285714,0.649190476,0.506619048,0.527285714,0.457047619,0.439142857,0.512904762,0,0.588380952,0.810380952,0.751571429,0.773904762,0.339571429,0.434380952,0.593190476,0.720809524,0.50052381,0.71,0.714761905,0.622809524,0.715428571,0.411809524,0.36952381,0.682571429,0.316666667,0.745285714,0.568952381,0.884761905,0.550047619,0.702619048,0.701095238,0.519714286,0.695285714,0.659571429,0.649571429,0.855761905
S4,0.38252381,0.598809524,0.310809524,0.583904762,0.502761905,0.673238095,0.387333333,0.557380952,0.581714286,0.464666667,0.623714286,0.588380952,0,0.550190476,0.431190476,0.762904762,0.631,0.568952381,0.455333333,0.564380952,0.198619048,0.549047619,0.470857143,0.465428571,0.35047619,0.630571429,0.587809524,0.680761905,0.581666667,0.770761905,0.420952381,0.907809524,0.583238095,0.431809524,0.73547619,0.628285714,0.733380952,0.652428571,0.698333333,0.861380952
S19,0.552809524,0.592904762,0.516666667,0.569380952,0.592,0.768190476,0.55747619,0.77647619,0.772285714,0.629428571,0.583,0.810380952,0.550190476,0,0.477238095,0.654238095,0.843952381,0.581619048,0.369142857,0.485095238,0.548619048,0.455380952,0.550095238,0.650809524,0.529380952,0.835428571,0.731619048,0.595,0.795285714,0.721190476,0.636190476,0.913809524,0.598238095,0.638761905,0.639666667,0.563761905,0.582904762,0.537904762,0.639095238,0.839666667
S18,0.350190476,0.704761905,0.377380952,0.545904762,0.579380952,0.704904762,0.475666667,0.791333333,0.677380952,0.659619048,0.667,0.751571429,0.431190476,0.477238095,0,0.645380952,0.78347619,0.702333333,0.465380952,0.573095238,0.423190476,0.593428571,0.474619048,0.626190476,0.391809524,0.773190476,0.589285714,0.765047619,0.746809524,0.694428571,0.519904762,0.716,0.730190476,0.491285714,0.800619048,0.650666667,0.728428571,0.579571429,0.723333333,0.852
S39,0.707285714,0.591619048,0.731190476,0.765190476,0.691142857,0.772285714,0.768142857,0.820714286,0.74952381,0.713285714,0.632714286,0.773904762,0.762904762,0.654238095,0.645380952,0,0.762428571,0.635619048,0.698619048,0.666428571,0.763857143,0.635095238,0.71052381,0.749809524,0.77447619,0.745333333,0.661333333,0.666142857,0.728190476,0.719333333,0.736952381,0.51147619,0.615904762,0.791666667,0.681666667,0.567380952,0.644904762,0.542380952,0.647714286,0.87552381
S38,0.781142857,0.600142857,0.787428571,0.830095238,0.564428571,0.70147619,0.550666667,0.591809524,0.517,0.549047619,0.72847619,0.339571429,0.631,0.843952381,0.78347619,0.762428571,0,0.499857143,0.665571429,0.779714286,0.565190476,0.729285714,0.723095238,0.616238095,0.751428571,0.471857143,0.383571429,0.721285714,0.35352381,0.86,0.64247619,0.913095238,0.631571429,0.742142857,0.793380952,0.685380952,0.816285714,0.712,0.755857143,0.878333333
S13,0.714857143,0.348,0.703571429,0.707047619,0.37952381,0.660142857,0.48547619,0.488809524,0.455428571,0.353666667,0.508666667,0.434380952,0.568952381,0.581619048,0.702333333,0.635619048,0.499857143,0,0.528238095,0.532190476,0.480952381,0.506857143,0.655,0.579285714,0.632190476,0.441952381,0.422,0.520380952,0.440571429,0.69352381,0.605333333,0.915142857,0.359142857,0.738380952,0.571904762,0.431714286,0.576857143,0.510952381,0.539238095,0.832809524
S12,0.560714286,0.524714286,0.536047619,0.549666667,0.439952381,0.627809524,0.423,0.644333333,0.57847619,0.498809524,0.531095238,0.593190476,0.455333333,0.369142857,0.465380952,0.698619048,0.665571429,0.528238095,0,0.493428571,0.440238095,0.495142857,0.484190476,0.514428571,0.50952381,0.633666667,0.523857143,0.603285714,0.612095238,0.672190476,0.407809524,0.85952381,0.529190476,0.559095238,0.683095238,0.515095238,0.651714286,0.515428571,0.590809524,0.829333333
S11,0.577428571,0.563047619,0.574047619,0.559142857,0.566857143,0.678285714,0.595571429,0.735380952,0.719666667,0.558095238,0.514047619,0.720809524,0.564380952,0.485095238,0.573095238,0.666428571,0.779714286,0.532190476,0.493428571,0,0.547666667,0.491238095,0.577809524,0.593952381,0.538571429,0.696857143,0.710761905,0.608714286,0.740904762,0.701666667,0.564571429,0.914619048,0.555142857,0.623095238,0.655380952,0.512333333,0.61747619,0.575238095,0.586333333,0.854190476
S10,0.384857143,0.52852381,0.363714286,0.580809524,0.443,0.666285714,0.339714286,0.527666667,0.500428571,0.421571429,0.594333333,0.50052381,0.198619048,0.548619048,0.423190476,0.763857143,0.565190476,0.480952381,0.440238095,0.547666667,0,0.546952381,0.484190476,0.475761905,0.33752381,0.538666667,0.504,0.66452381,0.525095238,0.736714286,0.463428571,0.910285714,0.547619048,0.46452381,0.698809524,0.604333333,0.680571429,0.645380952,0.694047619,0.849380952
S17,0.619142857,0.516809524,0.588,0.645047619,0.504904762,0.695952381,0.534571429,0.714428571,0.691904762,0.567714286,0.548285714,0.71,0.549047619,0.455380952,0.593428571,0.635095238,0.729285714,0.506857143,0.495142857,0.491238095,0.546952381,0,0.517428571,0.549190476,0.566190476,0.73152381,0.614238095,0.364285714,0.708714286,0.761666667,0.534190476,0.916142857,0.523285714,0.618380952,0.418095238,0.43147619,0.571809524,0.339857143,0.612619048,0.902333333
S16,0.519857143,0.711428571,0.464571429,0.635428571,0.552,0.671666667,0.459619048,0.750142857,0.684428571,0.641047619,0.64847619,0.714761905,0.470857143,0.550095238,0.474619048,0.71052381,0.723095238,0.655,0.484190476,0.577809524,0.484190476,0.517428571,0,0.529190476,0.489714286,0.721285714,0.632809524,0.725,0.668238095,0.806095238,0.530190476,0.892190476,0.686238095,0.533857143,0.765952381,0.659190476,0.768380952,0.587428571,0.735142857,0.890142857
S15,0.631238095,0.641047619,0.539,0.66452381,0.506714286,0.684333333,0.468952381,0.652857143,0.610904762,0.543095238,0.67147619,0.622809524,0.465428571,0.650809524,0.626190476,0.749809524,0.616238095,0.579285714,0.514428571,0.593952381,0.475761905,0.549190476,0.529190476,0,0.568809524,0.63647619,0.605380952,0.69347619,0.595047619,0.830047619,0.52052381,0.923666667,0.610809524,0.630666667,0.784952381,0.676333333,0.780809524,0.681142857,0.756238095,0.87947619
S14,0.390571429,0.714047619,0.346571429,0.548333333,0.621666667,0.670190476,0.488761905,0.704857143,0.689904762,0.604857143,0.547571429,0.715428571,0.35047619,0.529380952,0.391809524,0.77447619,0.751428571,0.632190476,0.50952381,0.538571429,0.33752381,0.566190476,0.489714286,0.568809524,0,0.759952381,0.724333333,0.750333333,0.732428571,0.70347619,0.522904762,0.907666667,0.699380952,0.47952381,0.712,0.687,0.726571429,0.67147619,0.716904762,0.681952381
S22,0.77947619,0.470714286,0.784333333,0.798857143,0.521238095,0.701666667,0.544571429,0.542857143,0.477190476,0.497666667,0.688333333,0.411809524,0.630571429,0.835428571,0.773190476,0.745333333,0.471857143,0.441952381,0.633666667,0.696857143,0.538666667,0.73152381,0.721285714,0.63647619,0.759952381,0,0.455,0.668619048,0.392714286,0.794285714,0.627809524,0.895238095,0.436190476,0.748,0.739714286,0.609857143,0.766952381,0.685666667,0.638428571,0.894238095
S23,0.701571429,0.482666667,0.710047619,0.725,0.425809524,0.670571429,0.464238095,0.54147619,0.407666667,0.498571429,0.649380952,0.36952381,0.587809524,0.731619048,0.589285714,0.661333333,0.383571429,0.422,0.523857143,0.710761905,0.504,0.614238095,0.632809524,0.605380952,0.724333333,0.455,0,0.674190476,0.370714286,0.714666667,0.550761905,0.794190476,0.530380952,0.693714286,0.718666667,0.580666667,0.704952381,0.548380952,0.698619048,0.889714286
S20,0.78447619,0.429285714,0.790333333,0.78947619,0.607,0.704857143,0.70352381,0.68147619,0.711857143,0.607095238,0.59552381,0.682571429,0.680761905,0.595,0.765047619,0.666142857,0.721285714,0.520380952,0.603285714,0.608714286,0.66452381,0.364285714,0.725,0.69347619,0.750333333,0.668619048,0.674190476,0,0.695,0.783714286,0.673047619,0.926190476,0.488428571,0.76452381,0.263095238,0.429238095,0.581857143,0.405619048,0.568666667,0.887238095
S21,0.761095238,0.515571429,0.730666667,0.776857143,0.505666667,0.69047619,0.50352381,0.543904762,0.463619048,0.505952381,0.691047619,0.316666667,0.581666667,0.795285714,0.746809524,0.728190476,0.35352381,0.440571429,0.612095238,0.740904762,0.525095238,0.708714286,0.668238095,0.595047619,0.732428571,0.392714286,0.370714286,0.695,0,0.790904762,0.611761905,0.891238095,0.521809524,0.74152381,0.708095238,0.647285714,0.765857143,0.675619048,0.653190476,0.867380952
S26,0.683047619,0.652904762,0.759809524,0.603047619,0.743809524,0.775285714,0.798857143,0.775238095,0.750047619,0.650761905,0.542952381,0.745285714,0.770761905,0.721190476,0.694428571,0.719333333,0.86,0.69352381,0.672190476,0.701666667,0.736714286,0.761666667,0.806095238,0.830047619,0.70347619,0.794285714,0.714666667,0.783714286,0.790904762,0,0.734,0.834285714,0.680238095,0.812666667,0.693761905,0.618904762,0.660095238,0.661666667,0.698666667,0.669952381
S27,0.566428571,0.580238095,0.515571429,0.581285714,0.471142857,0.641857143,0.420190476,0.649095238,0.53347619,0.504285714,0.590095238,0.568952381,0.420952381,0.636190476,0.519904762,0.736952381,0.64247619,0.605333333,0.407809524,0.564571429,0.463428571,0.534190476,0.530190476,0.52052381,0.522904762,0.627809524,0.550761905,0.673047619,0.611761905,0.734,0,0.801619048,0.599285714,0.47547619,0.740047619,0.547380952,0.720142857,0.593190476,0.662666667,0.84952381
S24,0.849904762,0.853761905,0.887904762,0.848619048,0.85752381,0.898428571,0.873190476,0.934238095,0.793952381,0.904904762,0.889333333,0.884761905,0.907809524,0.913809524,0.716,0.51147619,0.913095238,0.915142857,0.85952381,0.914619048,0.910285714,0.916142857,0.892190476,0.923666667,0.907666667,0.895238095,0.794190476,0.926190476,0.891238095,0.834285714,0.801619048,0,0.888619048,0.786285714,0.927857143,0.856190476,0.902857143,0.826047619,0.892142857,0.919285714
S25,0.76,0.319571429,0.73752381,0.725095238,0.445952381,0.690619048,0.572190476,0.577380952,0.529047619,0.465142857,0.525952381,0.550047619,0.583238095,0.598238095,0.730190476,0.615904762,0.631571429,0.359142857,0.529190476,0.555142857,0.547619048,0.523285714,0.686238095,0.610809524,0.699380952,0.436190476,0.530380952,0.488428571,0.521809524,0.680238095,0.599285714,0.888619048,0,0.742428571,0.529904762,0.417809524,0.527238095,0.468238095,0.47747619,0.851952381
S28,0.521952381,0.740619048,0.502952381,0.650285714,0.543380952,0.71147619,0.509904762,0.780428571,0.651761905,0.668952381,0.657952381,0.702619048,0.431809524,0.638761905,0.491285714,0.791666667,0.742142857,0.738380952,0.559095238,0.623095238,0.46452381,0.618380952,0.533857143,0.630666667,0.47952381,0.748,0.693714286,0.76452381,0.74152381,0.812666667,0.47547619,0.786285714,0.742428571,0,0.774666667,0.700238095,0.776428571,0.678857143,0.737095238,0.893285714
S29,0.81752381,0.475666667,0.809714286,0.78152381,0.688190476,0.747285714,0.761666667,0.679857143,0.719952381,0.631142857,0.531714286,0.701095238,0.73547619,0.639666667,0.800619048,0.681666667,0.793380952,0.571904762,0.683095238,0.655380952,0.698809524,0.418095238,0.765952381,0.784952381,0.712,0.739714286,0.718666667,0.263095238,0.708095238,0.693761905,0.740047619,0.927857143,0.529904762,0.774666667,0,0.466380952,0.546761905,0.404952381,0.575571429,0.839904762
S35,0.65452381,0.328857143,0.704952381,0.666761905,0.557047619,0.648952381,0.645142857,0.680333333,0.607809524,0.499095238,0.383380952,0.519714286,0.628285714,0.563761905,0.650666667,0.567380952,0.685380952,0.431714286,0.515095238,0.512333333,0.604333333,0.43147619,0.659190476,0.676333333,0.687,0.609857143,0.580666667,0.429238095,0.647285714,0.618904762,0.547380952,0.856190476,0.417809524,0.700238095,0.466380952,0,0.481285714,0.330333333,0.482619048,0.859761905
S34,0.763142857,0.520047619,0.754380952,0.704809524,0.683380952,0.746666667,0.765238095,0.742,0.74252381,0.657285714,0.54947619,0.695285714,0.733380952,0.582904762,0.728428571,0.644904762,0.816285714,0.576857143,0.651714286,0.61747619,0.680571429,0.571809524,0.768380952,0.780809524,0.726571429,0.766952381,0.704952381,0.581857143,0.765857143,0.660095238,0.720142857,0.902857143,0.527238095,0.776428571,0.546761905,0.481285714,0,0.51552381,0.574619048,0.856
S40,0.68552381,0.423047619,0.680380952,0.689333333,0.51752381,0.65752381,0.579904762,0.714428571,0.604809524,0.570333333,0.495809524,0.659571429,0.652428571,0.537904762,0.579571429,0.542380952,0.712,0.510952381,0.515428571,0.575238095,0.645380952,0.339857143,0.587428571,0.681142857,0.67147619,0.685666667,0.548380952,0.405619048,0.675619048,0.661666667,0.593190476,0.826047619,0.468238095,0.678857143,0.404952381,0.330333333,0.51552381,0,0.516142857,0.859761905
S31,0.759142857,0.490095238,0.757666667,0.724047619,0.626619048,0.637190476,0.701666667,0.699619048,0.71152381,0.574619048,0.526952381,0.649571429,0.698333333,0.639095238,0.723333333,0.647714286,0.755857143,0.539238095,0.590809524,0.586333333,0.694047619,0.612619048,0.735142857,0.756238095,0.716904762,0.638428571,0.698619048,0.568666667,0.653190476,0.698666667,0.662666667,0.892142857,0.47747619,0.737095238,0.575571429,0.482619048,0.574619048,0.516142857,0,0.826428571
S37,0.864714286,0.835142857,0.851190476,0.806428571,0.89347619,0.850857143,0.870285714,0.852571429,0.841428571,0.811714286,0.699809524,0.855761905,0.861380952,0.839666667,0.852,0.87552381,0.878333333,0.832809524,0.829333333,0.854190476,0.849380952,0.902333333,0.890142857,0.87947619,0.681952381,0.894238095,0.889714286,0.887238095,0.867380952,0.669952381,0.84952381,0.919285714,0.851952381,0.893285714,0.839904762,0.859761905,0.856,0.859761905,0.826428571,0
